"date","close","volume","open","high","low"
"2017/04/28","118.9900","4474580.0000","119.1900","119.6100","118.5900"
"2017/04/27","118.7800","3403472.0000","118.3600","119.2260","118.1000"
"2017/04/26","118.2000","5098528.0000","117.3400","119.2500","116.5100"
"2017/04/25","116.8700","3321575.0000","116.7600","117.3100","116.4100"
"2017/04/24","116.3200","3155205.0000","115.9900","116.5900","115.7300"
"2017/04/21","114.9900","5658723.0000","114.0000","115.2750","114.0000"
"2017/04/20","113.9400","2472394.0000","112.9600","114.3100","112.8100"
"2017/04/19","112.9200","2566694.0000","113.9500","114.2600","112.7100"
"2017/04/18","113.5600","2722107.0000","112.9500","113.6800","112.8200"
"2017/04/17","113.2700","3500950.0000","112.5300","113.2800","112.2950"
"2017/04/13","112.0900","2260169.0000","112.0500","112.7000","111.8210"
"2017/04/12","112.2400","2605103.0000","112.7800","112.8200","112.1350"
"2017/04/11","113.1400","2393450.0000","112.5000","113.1700","112.2500"
"2017/04/10","112.8800","2097453.0000","112.9900","113.7500","112.6800"
"2017/04/07","112.9900","2063924.0000","112.6300","113.2050","112.2300"
"2017/04/06","112.4100","2185654.0000","112.5700","112.9300","112.1900"
"2017/04/05","112.5000","3011528.0000","113.1400","114.3800","112.4500"
"2017/04/04","112.9900","2970932.0000","112.2700","113.2499","112.2400"
"2017/04/03","111.9300","2123043.0000","112.2800","112.4800","111.2400"
"2017/03/31","112.2100","2483734.0000","112.5000","112.6300","111.8500"
"2017/03/30","112.4500","1481596.0000","111.9600","112.6600","111.8500"
"2017/03/29","112.0600","1998807.0000","112.5500","112.5500","111.9100"
"2017/03/28","112.7400","3257632.0000","111.4100","113.1461","111.3200"
"2017/03/27","111.8300","2490020.0000","111.0800","111.9300","110.4500"
"2017/03/24","111.8000","2249660.0000","111.9800","112.2800","111.3300"
"2017/03/23","111.8400","2287627.0000","111.9300","112.4500","111.5600"
"2017/03/22","111.9300","2125690.0000","112.3700","112.4199","111.4200"
"2017/03/21","112.1600","3572568.0000","113.6600","114.1500","111.9800"
"2017/03/20","113.5100","3057832.0000","113.4000","114.0800","112.8300"
"2017/03/17","113.4500","7438139.0000","112.6800","113.9500","112.2700"
"2017/03/16","112.3400","2933831.0000","112.7700","113.2200","111.9450"
"2017/03/15","113.0800","3169003.0000","112.1200","113.3000","111.8700"
"2017/03/14","111.8300","2195175.0000","111.8800","112.1700","111.5500"
"2017/03/13","112.3100","2680328.0000","112.5600","112.7279","111.9600"
"2017/03/10","112.1400","3217937.0000","112.3900","112.5800","111.2900"
